,Tweets
523,"RT @RothesayTownCat: Pals!

Help Miss Dasha 
name tha kitties!
💙🐾💙

#CatsOfTwitter 
#SlavaUkraini 
#Ukraine 
#OdessaMonasterycats 
#OdessaC…"
679,"RT @pierrepiccinin: Un énième massacre d’enfants, à Gaza, assassinés par les frappes israéliennes.
L’armée israélienne ne se contente pas,…"
732,"RT @ruscrimes24: Military counter-intelligence officers of the Security Service of #Ukraine continue to ""demilitarize"" the occupiers with s…"
833,"Day 164.
Kim Jong Un has signaled to help Russia in the form of equipment assistance to build houses &amp; buildings. I… https://t.co/xtwUu2yQgP"
767,RT @MarkRid89403375: BREAKING: journalists were able to identify the Russian butcher who castrated a Ukrainian soldier. The killer turned o…
232,"RT @Shamemovement: 🧵Today marks the 14th anniversary of unprovoked terror Russia has unleashed on innocent civilians women, men, children a…"
530,"เราภูมิใจกับทุกคนที่ต่อสู้ในกองทัพอากาศของยูเครน!  ขอขอบคุณที่ปกป้องท้องฟ้าของเราอย่างน่าเชื่อถือ!

(2/2) #ยูเครน… https://t.co/MVnn95QPgH"
152,"Idź się pieprzyć, Putin!
(Polish)

#RussianWarCrimes #StandWithUkraine #RussiaInvadedUkraine #Ukraine"
829,"Das russische Militär setzt seine Offensive im Osten der #Ukraine mit unverminderter Härte fort.

https://t.co/ph4aTyU8G4"
405,"CIA Openly Admits in Mainstream Media They’ve Been Training Ukrainians to Fight #Russia Since 2015.

#Ukraine 

https://t.co/BgHOqmBcg1"
72,RT @QuirinWeber: Die nächste Reise des Papstes nach Kasachstan steht bald an. Doch schon davor könnte @Pontifex_de   noch ein anderes Land…
839,"Glory to the Air Force of Ukraine!🇺🇦🌻❤️
#UkraineWillWin,#UkraineWar,#UkraineRussiaWar,#Ukrainians,#UkrainianArmy,… https://t.co/H45tgXRA78"
184,RT @Ukraine66251776: Mykola Azarov Former Ukrainian Prime Minister reveals the truth behind the outright murder of Denis Kireev and many mo…
299,"Enemy explosives found in houses, playgrounds in de-occupied Kherson Region https://t.co/JJUKfn8m5D #Ukraine"
103,Зеленский созвонился с главой Евросовета: о чем говорили https://t.co/QyrithhhN2 #ukraine
438,@DavidHarrisAJC @TalyaLador @IsraelNitzan @YacovLivne @Yuval_Rotem @GalitPeleg @JonathanPeled @EmmanuelNahshon… https://t.co/O7KwLKgFFC
615,"RT @roemerwolf: @Gerard1945X @geertwilderspvv @JoostNiemoller De ""vluchtelingen"" v #Ukraine komen uit t noorden dus helemaal niet uit een o…"
194,"RT @ardenomerecanol: Eğer sayfamız 2500 takipçiye ulaşırsa, bir gönüllümüzden 3000TL bağış ALIYORUUZ 📣📣📣 Sayfamızı takibe alarak Arden'imiz…"
148,"#Putin
#PutinsKrieg
#Ukraine,    🇺🇦   ✊   🇺🇦 https://t.co/BB961ksi1V"
568,RT @HannaLiubakova: Meriem Herasimenka was sentenced to 15 days in a detention centre. She only performed a song by @s_vakarchuk's Okean El…
992,"‘🇺🇦’, 26 Feb. 2022, Geoart, #Tezos, by @MaxDrekker #Ukraine
https://t.co/CUB3eSVU6C"
564,"RT @LESJAP2022: Une pensée pour les mairies françaises qui vont devoir afficher :

- le drapeau ukrainien 🇺🇦
- le torchon européen 🇪🇺
- le…"
598,"+++ TOPINFO News Ticker: Mientras que esté Ucrania en #GUERRA, Etiquetaré todos mis tweets con #UCRANIA #Україна 🇺🇦… https://t.co/ECzPg220ur"
124,RT @UAWeapons: #Ukraine: A Russian BMP-2 was captured by the Ukrainian 110th Separate Territorial Defense Brigade after it was abandoned by…
146,"The Jesuit response to the crisis in #Ukraine is based on social interaction, inclusion, and #integration.

Learn m… https://t.co/WXlWtwaFlG"
855,"@InesULLA268 @AdmiralNeeda @Mind58349823 Die sogenannte Infastruktur wird es weiter geben, weil Straßen, Häuser, Wa… https://t.co/WkxYM7jtHD"
29,"RT @Youssef_Hindi: Mon prochain article pour @strategikafr paraîtra la semaine prochaine si Dieu veut. Une étude dont le titre sera :

""GUE…"
940,"RT @PromoteUkraine: An eloquent poster from the action «#Olenivka is new Osvencim» that took place yesterday in brave #Ukraine.

Ukrainians…"
377,"RT @UkraineNewsLive: 🇺🇦💥A shot from a 203-mm caliber cannon of the 2S7 ""Pion"" self-propelled guns of the 43rd artillery brigade of the Arme…"
210,RT @WelshAcadPress: In 1933 #GarethJones was the 1st journalist to expose Moscow's genocidal #Holodomor famine in #Ukraine - Stalin banned…
665,RT @bellmolamine: This is #Gaza not #Ukraine https://t.co/TN17OHRrLV
898,RT @MilaDiamond: More 🇷🇺 Officer-orcs bite the dust. #russianlosses #russiansolders #russianmothers #grandmothers #wives - where are your…
689,"RT @IBC24News: #Ukraine से लौटे मेडिकल स्टूडेंट्स का भविष्य अधर में | छात्र पहुंचे #CM, स्वास्थ्य मंत्री से मिलने 

@INCChhattisgarh | @bhu…"
218,"As the humanitarian crisis worsens and the war in #Ukraine prolongs, the credibility of western #aid is increasingl… https://t.co/u8sctOFSbH"
570,Ο Αμερικανός διάσημος streamer «Vaush» θέλει να πεθάνει από την πείνα όλους τους Ρώσους ως μέρος μιας στρατηγικής γ… https://t.co/DjN57yJS82
926,"RT @JuliuszSabak: Tamara #Lempicka w dzielach mniej znanych ale znowu dziś aktualnych. Obrazy ""Uchodźcy"" i ""Ucieczka czyli gdzieś w Europie…"
425,"Guerre en Ukraine : Cinq civils tués dans la région de Donetsk
#Ukraine #UkraineRussie #UkraineInvasion #Russie… https://t.co/er3WjQVQpC"
748,"#UkraineRussianWar #Ukraine #Russia

""The Times view on Amnesty International’s Ukraine report: Putin’s Propagandis… https://t.co/1l0MGX5tVb"
943,RT @IonMoraruDairy: there is a war in our country and we have made good reserves of straw… 🌾 my two sons Ștefan and Titus already help me o…
934,"RT @ChrishaModis: Inspirational powerful .... Falling Angels!
#Trending #goodmorning #music #Musica #India #Ukraine #love #Russia @AppleMus…"
60,"RT @bechetgolovko: Le vice Premier ministre #Ukraine Vereshuk envisage ""l'évacuation forcée"" des populations de certaines régions.
Rappelon…"
65,"RT @chehayebk: 🇱🇧🇺🇦🚢A ship bringing corn to #Lebanon’s northern port of Tripoli normally would not cause a stir. 

But it’s getting attenti…"
