,Tweets
623,"RT @KYTKYTKYTKYTKYT: H συναλλαγαμτική ""κατρακύλα"" της Ουκρανίας συνεχίζεται ακακετη!

#Ουκρανία #UkraineRussiaWar #Ukraine #Ukrainian #Russ…"
679,"RT @pierrepiccinin: Un énième massacre d’enfants, à Gaza, assassinés par les frappes israéliennes.
L’armée israélienne ne se contente pas,…"
274,La #Russie a décidé de détruire tous les avions de chasse de l'#Ukraine. Un #Soukhoï Su-25 ukrainien détruite hier.… https://t.co/67NPiust1T
874,"RT @claudarnaud: ""Les Ukrainiens ne sont pas des anges...""
 #Amnesty International dénonce l'utilisation par les forces Ukrainiennes d'hôpi…"
110,"RT @Arab_Intel: 🇷🇺 🇪🇬 🇵🇸 | L'ambassade de #Russie en #Égypte : 

""L'Occident est extrêmement préoccupé par la situation en #Ukraine, mais n…"
570,Ο Αμερικανός διάσημος streamer «Vaush» θέλει να πεθάνει από την πείνα όλους τους Ρώσους ως μέρος μιας στρατηγικής γ… https://t.co/DjN57yJS82
8,"RT @UAWeapons: #Ukraine: A Ukrainian soldier firing a captured modern Russian RPO PDM-A ""Shmel-M"" rocket-assisted flamethrower at Russian p…"
96,"RT @BHL: The #Amnesty report on #Ukraine is not only despicable (as if we'd, in 1944, accused the Resistance of fighting in Paris) but also…"
346,"@marcgarlasco @DarthPutinKGB @amnesty THE ELEPHANTS IN THE ROOM:

1/ Russia shelling civilian areas indiscriminatel… https://t.co/7BjeHRAVBO"
659,RT @heiditheblogger: Wir sehen das komplette Regierungsversagen. Der Staat hat sich über die letzten 2 Jahre selbst delegitimiert. Will der…
103,Зеленский созвонился с главой Евросовета: о чем говорили https://t.co/QyrithhhN2 #ukraine
611,"RT @sarcasm475: This is not #ukraine
These are #Palestinian
#GazaUnderAttack https://t.co/o0bFnqMdcs"
632,"RT @Sylvia08905705: @dpatrikarakos @DailyMailUK Never forget. Never turn your back on #Ukraine 🇺🇦.
@RobertaMetsola @ManfredWeber @othmar_ka…"
94,"RT @GlasnostGone: The nightmare world of occupied #Ukraine. In Kherson city, the smoke from mobile incinerators fills the air - as Russia b…"
943,RT @IonMoraruDairy: there is a war in our country and we have made good reserves of straw… 🌾 my two sons Ștefan and Titus already help me o…
767,RT @MarkRid89403375: BREAKING: journalists were able to identify the Russian butcher who castrated a Ukrainian soldier. The killer turned o…
116,"Content analysis:
This article scores 76/100. The complete report can be viewed here: https://t.co/GwSmdws4Gb
(I'm… https://t.co/KseAmMqcBt"
966,"@_Kittypunk @SilkeLutz So vom Design eher etwas unmodern, diese #AKW in der #Ukraine :-)"
581,"RT @awwikanadi: Day 164.
Kim Jong Un has signaled to help Russia in the form of equipment assistance to build houses &amp; buildings. Including…"
692,"RT @Lambsdorff: Da es den Wunsch nach einem direkten Link zum Paper der @Yale University über die #Russland-#Sanktionen gab, bitte gerne:…"
262,"RT @JostikSepgu: #Ukraine #StandWithUkraine #russia #StopRussia  #russianWarCrimes
#ArmUkraineNow @UN #NATO @JoeBiden @Bundeskanzler @Emman…"
888,З Днем повітряних сил збройних сил України #соколиукраїни #зсу #псу #впс #Україна #UkrainianArmy #ukraine https://t.co/od5gbMoQll
569,"@Louis_Allday #gazaunderattack
#IsraeliTerrorism 
#IsraeliCrimes 
#Ukraine"
62,5 lanzamientos de misiles y 5 impactos en objetivos aéreos enemigos en el área del asentamiento.#Russia #Ukraine https://t.co/djpKNN5Ona
656,Very excited that cousin Jack has bought his ticket to come join me in #Ukraine just in time for… https://t.co/7VtyWOhrh5
382,"Pojdi, Putin!
(Slovenian)

#RussiaInvadedUkraine #StopRussianAggression #StopPutin #Ukraine"
860,"RT @RobertMenardFR: Au contraire. Ces sanctions sont essentielles, d'un simple point de vue moral. Sinon on laisse les gouvernements crimin…"
751,"7/8
🇷🇺🔥
short tik-tok, an orc of Caucasian nationality beat his madam, she forgave him, and he took it and disposed… https://t.co/EjXHZJuA9J"
4,RT @UAWeapons: #Ukraine: A very rare Russian BMO-T T-72-based APC was destroyed by Ukrainian forces. This is the second one to be lost in U…
236,"RT @CanalDigitalN: 🇷🇺🇺🇦 | A pedido de Kiev, la justicia ucraniana ha ratificado la ilegalidad del «Partido Comunista» y de «Ucrania Feliz»,…"
867,RT @ResistUA: #russia is preparing to hold referendums in the temporarily occupied territories of #Ukraine. This is a gross violation of in…
962,RT @youngdanax: 🔥 An incredibly beautiful video of the work of the Armed Forces of #Ukraine. May all the orcs burn in hell and Kreml to bur…
237,"RT @BHL: Mon ami ⁦@dpatrikarakos⁩ a publié, dans ⁦@unherd⁩ et ⁦@spectator,⁩ quelques uns des meilleurs reportages sur la guerre en #Ukraine…"
82,"Article Link: https://t.co/nxWkGlJexs 
Counterintelligence officers show how they kill Russian soldiers with drones… https://t.co/MOYAkmmiBd"
889,"RT @GeromanAT: #Ukraine - #Bakhmut
Current situation
RF / Allies pressing on the next defense lines - RF is in the outskirts of Bakhmut - b…"
880,"RT @kleensamsonite: #TrumpWorld 

SCOOP......!!!

La #France est à court de canons automoteurs Caesar à cause de l'#Ukraine.

 #Paris a liv…"
425,"Guerre en Ukraine : Cinq civils tués dans la région de Donetsk
#Ukraine #UkraineRussie #UkraineInvasion #Russie… https://t.co/er3WjQVQpC"
565,RT @Sterling_OSEP: “With the relentless anti-Russian war propaganda world public opinion is to be prepared for a far bigger war that threat…
291,"#WION:
#Russia accuses #US of '#Direct #Involvement'
in #Ukraine war ‼️
Moscow has now accused the United States of… https://t.co/2kJWxmThgq"
861,"RT @UAWeapons: #Ukraine: A drone of the 71st Jaeger Brigade dropping an improvised EFP munition on a Russian BMP-3 IFV.

The BMP-3 can be s…"
799,"RT @Dmytro_Bondar_: 🇷🇺 LOSSES. OFFICIAL
🆘Help 🇺🇦 army now https://t.co/wL6WYalxnQ
😡165th day of  #russian🇷🇺 #WAR in #Ukraine on 7.08.22
#St…"
323,"We have replenished strategic stocks for continuous operation!
We purchased surgical instruments from company… https://t.co/Jc2FDtaeaN"
575,"RT @EHunterChristie: 1/5
Alright. This about wraps it up for #Scholz.
Now this is reported speech, not quotations, but the source is legiti…"
624,"RT @GlasnostGone: We've all waived goodbye to our grandparents. But few of us have done so thinking they may soon be killed. 

Escaping Rus…"
219,"The resumption of grain exports is being overseen by a Joint Coordination Centre (JCC) in Istanbul where Russian, U… https://t.co/tAuvXrMO5P"
725,"#Ukraine #Russland #UkraineRussianWar #Ukrainekrieg #Russia 

.

Für den Krieg in der Ukraine: Nordkorea will Putin… https://t.co/t57uGM6k6i"
386,"RT @mil_in_ua: 🇺🇦Десантники показали використання британських гаубиць L119

Бійці десантно-штурмових військ активно використовують західне…"
135,RT @LCI: #Ukraine : le réacteur d'une centrale nucléaire à l'arrêt après des frappes https://t.co/KbLA3PfzNU https://t.co/akgAJBlfie
277,"@hahnflo Schwere Waffen, damit Ukrainer weiter schwere Wagen fahren können .. wie diesen im Berliner Regierungsvier… https://t.co/OLL0b7tXf4"
592,"@Pal_action #gazaunderattack
#IsraeliTerrorism 
#IsraeliCrimes 
#Ukraine"
798,"RT @GlasnostGone: UN's nuclear watchdog called for immediate end to military action near #Ukraine's #Zaporizhzhia nuclear plant, warning of…"
12,"RT @UAWeapons: #Ukraine: Ukrainian forces rebuffed an attempted Russian probe in the East in recent days, with a BMP/MT-LB armoured vehicle…"
108,"RT @MrKovalenko: On August 6, the #Ukrainian Armed Forces destroyed on the occupied south of #Ukraine 4 Russian anti-air launchers S-300 (a…"
194,"RT @ardenomerecanol: Eğer sayfamız 2500 takipçiye ulaşırsa, bir gönüllümüzden 3000TL bağış ALIYORUUZ 📣📣📣 Sayfamızı takibe alarak Arden'imiz…"
467,"Situation 'Grave' say International Atomic Energy Agency, who have never ever considered the key risk of military a… https://t.co/SXdo3ZAppM"
370,Izyum direction burnt Russian BMP-2 Orcs.#Ukraine #UkraineWar https://t.co/c571vmPs1D
44,"RT @Ukraine66251776: North Korea wants to test its attack drones in #Ukraine - have offered 100000 troops and equipment to Russia 
#Ukraine…"
320,"#Sweden to train #Ukrainian soldiers in the #UK. ""The purpose is to help #Ukraine maintain and strengthen its defen… https://t.co/OIGWRdBxC3"
98,"#Mykolaiv and Roman Poetry
https://t.co/fYpWnDTBJj

#kallipolis
#ukraine #UkraineWarNews #UkraineRussianWar"
233,@marcgarlasco @DarthPutinKGB @amnesty 3/ Russia has said many times it is NOT targeting civilian areas.  By accusin… https://t.co/Mcy7NcuhK6
595,"RT @awwikanadi: Day 41.
April 06.  12:48 AM (local time)
The atrocities of the Azov Neo-NAZI army, have been committed SINCE 2014, but are…"
390,"Д 455,

Всім іноземцям, які бажають відвідати Єгипет, особливо жінкам.

Будь ласка, не приїжджайте до Єгипту.

У на… https://t.co/1EgNbUznyK"
530,"เราภูมิใจกับทุกคนที่ต่อสู้ในกองทัพอากาศของยูเครน!  ขอขอบคุณที่ปกป้องท้องฟ้าของเราอย่างน่าเชื่อถือ!

(2/2) #ยูเครน… https://t.co/MVnn95QPgH"
405,"CIA Openly Admits in Mainstream Media They’ve Been Training Ukrainians to Fight #Russia Since 2015.

#Ukraine 

https://t.co/BgHOqmBcg1"
0,"RT @TWMCLtd: The dangers facing #Ukraine's farmers are manifold.

Recently we saw tractors battling to harvest before flames engulfed the c…"
969,RT @KuB_Berlin: regulars will already know: every sunday there is a community-powered meet-up directed at Black people and other people of…
198,"RT @PatriotsDZ: Nous vivons dans un monde de salops ! Le monde ""libre"" s'est insurgé contre la guerre en #Ukraine, mais lorsqu'il s'agit de…"
457,"RT @philippepoustis: #UkraineRussiaWar 165ème jour d'une invasion russe en #Ukraine qui n'en finit pas 💔 

💙💛 #StandWithUkraine 🇺🇦 https://…"
328,"RT @WarintheFuture: 8/ Concurrently, the Ukrainians have been conducting a rolling series of small-scale counter attacks across the south.…"
951,"RT @ukraineforum: AKW Saporischschja unter Beschuss, Raketeneinschlag nahe Trockenlager mit abgebrannten Kernbrennstoffen - Energoatom: Das…"
238,"RT @wimocean: Et donc,@GabrielAttal avoue que la #France n'a pas respecté les accords de #Minsk depuis 2014 et fourni des armes en grosse q…"
81,RT @peter34952: The #NAFO playbook. Promoting the censoring of truth tellers under the guise of countering disinformation. #Ukraine #Russia…
980,"RT @Militarylandnet: ✍️Russian Invasion - Day 164 | Summary of the situation + detailed maps. 
#UkraineRussiaWar #Ukraine #maps 
Available…"
40,"RT @olex_scherba: Hey @amnesty, don’t play the “Both sides” game on #Ukraine. There is no “both sides” in murder, rape, torture. Ukraine de…"
249,RT @Saraswa59879062: Blüht uns das auch demnächst?#Volksenteignung #GreatReset #Ukraine #truthbook https://t.co/ue0lavSUf2
523,"RT @RothesayTownCat: Pals!

Help Miss Dasha 
name tha kitties!
💙🐾💙

#CatsOfTwitter 
#SlavaUkraini 
#Ukraine 
#OdessaMonasterycats 
#OdessaC…"
224,"😀

Roger Waters schools a #CNN ""journalist"" on #Ukraine &amp; #Taiwan. https://t.co/44HvPM8V0h"
151,"РФ намерена заморозить войну на полгода - Подоляк

Источник: 
https://t.co/FX6OsYnBLS 

Хэштеги:
#COVID #IT #Новини… https://t.co/lBxC222HUn"
51,"RT @walter_report: A recon unit of #Sumy partisans with TDF element and under 🇺🇦special forces guidance, performs reconnaissance behind ene…"
742,"When #Russia was killing 600.000 people in #Syria. #China, #Iran and #North #Korea where there supporting Russia. T… https://t.co/RqguDOwzwf"
715,"RT @alex_sols: #Ukraine Адміністрація Байдена оголосить про ще один пакет допомоги для України на 1 мільярд доларів — Reuters
США планує пе…"
111,"RT @BalkanInsight: “Maintaining peace in the #Balkans is critical to European security, especially as #Putin grows more desperate in #Ukrai…"
102,RT @Arslon_Xudosi: #Ukraine: Ukrainian group CRAF UA repainted a captured Gaz Tigr IMV. It will now serve Ukrainian forces in combat. https…
837,If you're curious about the truth and want to see the absolute state of the media watch RODGER WATERS school CNN on… https://t.co/eiQkwA1d1c
299,"Enemy explosives found in houses, playgrounds in de-occupied Kherson Region https://t.co/JJUKfn8m5D #Ukraine"
269,"RT @KYTKYTKYTKYTKYT: Τα εγκλήματα στην Ουκρανία συσσωρεύονται
Αλτσέφσκ, Λαϊκή Δημοκρατία του Λουχάνσκ, πολιτικά κτίρια που βομβαρδίζονται.…"
909,"RT @Chronikfr: - Du tri des réfugiés en fonction de leur origine à la condamnation des bombardements des civils, un même discours universal…"
421,Dobroj rano! Here's another amazing video supporting #Ukraine and #Ukrainian #literature from @KirkLawrence. This o… https://t.co/t32oHLeyve
332,"RT @Zack_Ferum: @SergiyKyslytsya i was in Kyiv when #russia began the war: hundreds of sleeper agents activated, diversion groups began act…"
809,Keep those arms coming #Washington. #Russia just destroyed the last 45 tonnes you sent to #Ukraine. Don't fight a m… https://t.co/ZUE6j9BHpX
235,#Gaza is brutally under attack by #Israel. @unitednations please wake up and help #palestine. Why #ukraine lives ma… https://t.co/mgXrxDDEyf
723,RT @berdynskykh_k: Kyiv. Day 165 👊🇺🇦 #Ukraine
341,Look up these names! All the important #Nazis after WW2 were adopted by the US and then continued their hatred and… https://t.co/JpN064ZVEP
45,"#Russian from #Buch #Ukraine finds out truth...

Risks being sentenced with up to ""10 years"" in jail under #Putin's… https://t.co/d0cHmznzKM"
68,RT @elieguckert: #Ukraine : Une vidéo tournée fin juillet montre une tête - probablement celle d'un soldat ukrainien - plantée sur une piqu…
578,"@abierkhatib #gazaunderattack
#IsraeliTerrorism 
#IsraeliCrimes 
#Ukraine"
206,Одесская жизнь → Наводили ракеты и артиллерию на одесских резервистов: задержаны агенты фсб https://t.co/giXwv2cOgV… https://t.co/o3qJ379TxG
158,RT @PatriotsDZ: Communiqué hypocrite : le rapport de force n’est pas équilibré et vous le savez. Ce communiqué est un blanc-seing pour la p…
637,"Столтенберг прямо говорит: 

«Я настаиваю, НАТО настаивает, решительно для большей поддержки нужен постоянный поток… https://t.co/hxdhsJ9Dhz"
459,"RT @nickreeves9876: #Ukraine @lukeharding1968's interview with Anna Vorosheva who spent 100 days in #Olenivka, the Donetsk prison where doz…"
601,"Russian soldier captured by Ukrainian forces 👊
#Russian #Rusia #Ukraine #ukraina #UkraineWar  #UkraineRussiaWar https://t.co/K5Zuq12d2e"
816,RT @Elias_Haddad48: #Ukraine  #غزة_تحت_القصف
722,@Tagesspiegel #juliaFriedrich hat Probleme…?! Interessiert das die Weltbevölkerung? #Ukraine #Veteranin
414,#Ukraine: Ukrainian group CRAF UA repainted a captured Gaz Tigr IMV. It will now serve Ukrainian forces in combat. https://t.co/zJwsVfsMoh
537,Communist @Russia Military is suffering 😁 #Ukraine Airforce is 😎💪❤️ The World is against #Russia 😎 - Guilty of Crim… https://t.co/vh3zaM0gjl
930,"RT @ot_ford: @CPIUSA The theme of this pro-#Putin, anti-#Ukraine “socialist” gathering is “Unite against the imperialists”.
#imperialism
ht…"
87,RT @edgarsrinkevics: 14 years ago #Russia began the war against #Georgia. If the aggression was stopped by the international community then…
230,"RT @GeromanAT: #Ukraine SE Ugledar (Vuhledar Pavlivka axis)
RF / Allies resumed their offensive operations there - I'm not sure if that is…"
18,RT @UAWeapons: #Ukraine: The Security Service of Ukraine along with the 112nd Territorial Defense Brigade continue drone terror - at least…
27,RT @GlasnostGone: Russia has many useful idiots. Many crawl out of the woodwork and happily sell their black souls to Putin. And then there…
883,"RT @GeromanAT: #Ukraine #Kherson
RF / Allies trying to clear up the bulge created by AFU during their river crossings 
RF has also started…"
587,"RT @odessacats: It's Black Friday at the shelter - we are inviting people to adopt a black cat🐈‍⬛🐾, because there are so many of them and t…"
161,RT @iaeaorg: IAEA Chief @RafaelMGrossi's statement expresses alarm over shelling at Ukraine’s #Zaporizhzya nuclear plant. Info received by…
319,How ironic. The man who cowrote The Wall. #PinkFloyd #Ukraine #UkraineRussianWar https://t.co/vTHOPZ3OUc
146,"The Jesuit response to the crisis in #Ukraine is based on social interaction, inclusion, and #integration.

Learn m… https://t.co/WXlWtwaFlG"
156,"RT @KyivPost: #Sweden to train #Ukrainian soldiers in the #UK. ""The purpose is to help #Ukraine maintain and strengthen its defense,"" the g…"
907,"@Telmaa1996 You can watch those reports from anywhere in the world, even places where entire countries have been ce… https://t.co/kjzVSlRRDC"
75,"RT @Lyttekanal: @visegrad24 And let me guess. That country have possibly never contributed financially to the EU. 

And therefore should be…"
113,"Очередной военнопленный, взятый нашими ребятами. 

И очередное подтверждение того, что поставленным западным вооруж… https://t.co/NIeu5RjnH5"
902,"RT @desatura: Will all of the World banned or Condemn Israel? like they do to Russia?

 #PutinWarCriminal #ZelenskyWarCriminal #RussiaUkrai…"
258,"RT @GlasnostGone: The Russian reality is, they'll have been paid a few extra rubles to make this pitiful propaganda video. Then they'll get…"
525,"Day 164. Yes, extraordinary act of barbarity have been tolerated this long by so many of the worlds’s countries, fo… https://t.co/Hur6r7MStF"
260,"Gå FUCK själv, Putin!
(Swedish)

#Ukraine #PutinsWar #FuckPutin #RussianWarCrimes"
